0.0000__64.0000, 0.2102__64.0000, 0.4079__64.0000, 0.7373__64.0000, 1.4151__64.0000, 2.2739__64.0000, 3.5319__64.0000, 4.6340__64.0000, 5.2662__64.0000, 6.0443__64.0000, 7.1056__64.0000, 8.1319__64.0000, 8.8465__64.0000, 9.5467__64.0000, 9.9827__64.0000, 10.9059__64.0000, 12.2065__64.0000, 13.5311__64.0000, 15.4392__64.0000, 16.9021__64.0000, 17.2710__64.0000, 17.9770__64.0000, 19.0305__64.0000, 20.0584__64.0000, 21.3772__64.0000, 22.7913__64.0000, 24.1711__64.0000, 25.5700__64.0000, 26.8781__64.0000, 28.4246__64.0000, 30.0631__64.0000, 31.5817__64.0000, 33.1456__64.0000, 34.5237__64.0000, 35.8522__64.0000, 37.2769__64.0000, 38.6246__64.0000, 39.8773__64.0000, 40.8415__64.0000, 41.9139__64.0000, 42.3244__64.0000, 43.0202__64.0000, 44.9937__64.0000, 46.5259__64.0000, 48.1347__64.0000, 49.3460__64.0000, 50.3223__64.0000, 50.8828__64.0000, 51.7311__64.0000, 52.7452__64.0000, 54.1157__64.0000, 55.2969__64.0000, 55.8784__64.0000, 56.3807__64.0000, 57.0084__64.0000, 58.3658__64.0000, 59.2338__64.0000, 59.6571__64.0000, 60.0505__64.0000, 60.2398__64.0000, 60.5614__64.0000, 61.6053__64.0000, 62.2286__64.0000, 63.2220__64.0000, 64.0000__64.0000, 
0.0000__63.1691, 0.2157__63.1714, 0.4377__63.1585, 0.7363__63.1154, 1.4337__63.0774, 2.2245__63.0575, 3.4799__63.1129, 4.6747__63.1105, 5.2435__63.1511, 6.0766__63.2004, 7.1905__63.0993, 8.0667__63.1385, 8.8836__63.1613, 9.5457__63.1373, 9.9743__63.1274, 10.8481__63.0762, 12.0813__63.1002, 13.5236__63.0269, 15.4720__62.7303, 16.4951__63.0511, 17.1560__63.2449, 17.9328__63.3185, 19.0178__63.4833, 20.1405__63.5420, 21.4130__63.5284, 22.7565__63.5441, 24.1542__63.5680, 25.4890__63.6751, 26.9331__63.6698, 28.3743__63.6627, 30.0702__63.7241, 31.6359__63.6575, 33.1037__63.6457, 34.5899__63.6365, 35.8781__63.5603, 37.2867__63.5338, 38.6141__63.5102, 39.7795__63.5392, 40.9345__63.3909, 41.8384__63.2998, 42.6055__63.2251, 43.2908__62.8746, 44.7805__62.8545, 46.7021__63.0702, 48.1710__62.9744, 49.4025__63.0546, 50.3962__63.0573, 50.8395__63.0814, 51.8033__63.1175, 52.7208__63.0896, 53.9743__63.1387, 55.1736__63.1604, 55.7625__63.1593, 56.3367__63.1264, 57.1240__63.0400, 58.4938__62.8315, 59.4055__62.6714, 59.9733__62.4404, 60.4193__62.2129, 60.6395__62.0821, 60.8551__62.0153, 61.1611__62.2699, 62.2799__62.6824, 63.1888__62.5798, 64.0000__62.5983, 
0.0000__62.2885, 0.2306__62.2760, 0.4641__62.2586, 0.7322__62.2404, 1.4335__62.1806, 2.1466__62.1521, 3.3744__62.1870, 4.7023__62.2507, 5.3605__62.1967, 6.0324__62.1298, 7.0436__62.2842, 7.9918__62.3537, 8.9698__62.3306, 9.6173__62.3288, 9.9879__62.3020, 10.7468__62.2636, 11.8203__62.2603, 13.5787__61.9159, 14.9461__62.0456, 15.7621__62.3028, 16.8096__62.4423, 17.9018__62.6449, 18.9774__62.8176, 20.2319__62.9645, 21.4059__63.0765, 22.6913__63.1513, 23.9906__63.2384, 25.4241__63.2773, 26.8945__63.3651, 28.3156__63.4255, 30.0664__63.4082, 31.7184__63.4235, 33.1377__63.3040, 34.6073__63.2276, 36.0290__63.2009, 37.3283__63.0907, 38.5753__63.0410, 39.7919__62.9056, 40.9290__62.7429, 41.9722__62.5587, 43.0382__62.3315, 43.9686__62.1745, 44.8961__61.8237, 46.8701__61.9674, 48.3130__62.1753, 49.6009__62.1286, 50.4002__62.1805, 50.8592__62.1921, 51.6615__62.2233, 52.7270__62.2994, 53.7806__62.2140, 54.9613__62.2356, 55.6803__62.1541, 56.1967__62.0305, 57.3745__61.9854, 58.7408__61.7325, 59.7249__61.4819, 60.4568__61.1879, 60.7967__61.0038, 60.9630__60.9254, 61.0904__60.9453, 61.2006__61.0329, 61.9942__61.1732, 63.3391__61.4107, 64.0000__61.1952, 
0.0000__61.4129, 0.2379__61.4224, 0.4615__61.4165, 0.7443__61.3506, 1.3736__61.2947, 2.1136__61.2586, 3.2141__61.3075, 4.8015__61.3168, 5.4629__61.4108, 5.9498__61.4980, 6.7488__61.5325, 8.0901__61.5109, 9.1650__61.4401, 9.6859__61.4623, 10.0069__61.4945, 10.6239__61.5295, 11.7241__61.3237, 13.2784__61.1912, 14.1725__61.4207, 15.4008__61.5352, 16.5546__61.6798, 17.7810__61.9837, 18.9059__62.2211, 20.1400__62.3854, 21.3310__62.5689, 22.6109__62.7506, 23.9409__62.8138, 25.3733__62.9491, 26.7638__63.1019, 28.2941__63.2027, 30.0649__63.1942, 31.7731__63.1750, 33.2966__63.0441, 34.7172__62.8610, 36.0661__62.7479, 37.4811__62.6822, 38.5902__62.4778, 39.9780__62.3520, 40.9869__62.1225, 42.1995__61.8185, 43.3324__61.5667, 44.5775__61.3958, 45.6251__61.1580, 46.8415__60.9866, 48.6126__61.2619, 49.6868__61.3036, 50.2940__61.2960, 50.6463__61.3472, 51.5018__61.3543, 52.6918__61.3774, 54.0160__61.3075, 54.8879__61.0901, 55.6098__61.1259, 56.1855__61.0972, 57.6065__60.9297, 59.0214__60.7185, 59.9281__60.4466, 60.6512__60.2195, 60.9385__59.9764, 61.1971__59.8196, 61.4413__59.7331, 61.5974__59.8360, 61.7998__60.0419, 63.3086__60.2427, 64.0000__60.4052, 
0.0000__60.5764, 0.2438__60.5617, 0.4920__60.5379, 0.7582__60.4924, 1.3001__60.4051, 2.0248__60.3948, 3.1309__60.3553, 4.7439__60.4077, 5.4125__60.5989, 6.0754__60.6448, 6.7218__60.6936, 8.4911__60.5075, 9.2055__60.5100, 9.6783__60.6366, 10.0030__60.7018, 10.4894__60.7086, 11.6863__60.5379, 12.6617__60.6343, 13.8023__60.7448, 15.0966__60.8139, 16.3794__61.0455, 17.5568__61.2907, 18.7720__61.5579, 19.9669__61.8144, 21.1552__62.0470, 22.4877__62.2277, 23.8364__62.4669, 25.1445__62.6573, 26.6502__62.8775, 28.2164__63.0072, 30.0828__63.0080, 31.8805__62.9659, 33.4364__62.7846, 34.9152__62.5548, 36.2212__62.3571, 37.5641__62.1734, 38.8520__61.9945, 40.0271__61.6987, 41.2548__61.4570, 42.3531__61.1606, 43.6762__60.8299, 44.9075__60.5829, 46.2683__60.5222, 47.3017__60.3176, 48.7353__60.3273, 49.6880__60.4567, 50.1869__60.3877, 50.5134__60.3309, 51.1268__60.3121, 52.5780__60.4532, 54.2106__60.4324, 54.9746__60.3513, 55.4986__60.1912, 56.1744__60.1107, 57.8153__60.0008, 59.2858__59.7142, 60.0358__59.4922, 60.8204__59.2732, 61.1040__59.0701, 61.3583__58.9452, 61.5918__58.8568, 61.7971__58.8631, 61.9343__59.0133, 62.9661__59.2505, 64.0000__59.4194, 
0.0000__59.6743, 0.2431__59.6904, 0.4953__59.6820, 0.7116__59.6303, 1.2332__59.5988, 1.9665__59.4860, 3.0647__59.3878, 4.4898__59.4623, 5.3360__59.6817, 6.3053__59.7736, 6.8476__59.6576, 8.5130__59.5871, 9.0552__59.7038, 9.6082__59.7346, 9.9266__59.8699, 10.4520__59.9008, 11.3970__59.9423, 12.2956__60.0427, 13.6379__60.0116, 14.8562__60.1098, 16.1667__60.3365, 17.3052__60.6434, 18.5530__60.9156, 19.6704__61.2200, 20.9122__61.5230, 22.2316__61.8180, 23.5536__62.1111, 24.9249__62.4027, 26.4570__62.6975, 28.1273__62.8531, 30.1061__62.8527, 32.0027__62.8214, 33.6974__62.5668, 35.1053__62.2739, 36.5267__62.0039, 37.7707__61.7411, 39.0989__61.4051, 40.2998__61.0889, 41.4052__60.7581, 42.6935__60.4466, 43.9265__60.1193, 45.1973__59.8847, 46.5225__59.7750, 47.8826__59.6718, 48.8340__59.5436, 49.8280__59.5639, 50.2499__59.4573, 50.5838__59.3544, 51.1620__59.2850, 52.4295__59.2229, 54.1667__59.3837, 54.8193__59.3508, 55.5231__59.3613, 56.2318__59.1524, 58.1188__58.9074, 59.4083__58.7623, 60.2305__58.5641, 60.9513__58.3406, 61.1960__58.1959, 61.4525__58.0770, 61.7387__57.9458, 61.9463__57.9158, 62.1036__58.0214, 62.7412__58.1974, 64.0000__58.4711, 
0.0000__58.9224, 0.2202__58.8986, 0.4823__58.8888, 0.6946__58.8692, 1.1464__58.7317, 1.9501__58.6391, 2.9291__58.5854, 4.3284__58.5325, 5.1285__58.6845, 6.5375__58.7840, 7.1743__58.7129, 8.1963__58.7366, 8.8252__58.8181, 9.3780__58.9384, 9.7369__59.1222, 10.4187__59.1905, 11.0908__59.2787, 12.2663__59.2898, 13.4322__59.3149, 14.6476__59.4674, 15.8198__59.6927, 17.0620__59.9397, 18.1999__60.2732, 19.3590__60.6341, 20.5388__61.0386, 21.7708__61.4671, 23.1927__61.8289, 24.6342__62.1543, 26.2240__62.4738, 28.0462__62.6926, 30.1288__62.7235, 32.1409__62.6584, 33.9767__62.3534, 35.4376__62.0328, 36.8656__61.6976, 38.2175__61.3039, 39.4777__60.8590, 40.5981__60.4606, 41.7852__60.1174, 43.0030__59.7393, 44.2324__59.4698, 45.4553__59.2073, 46.7087__59.0059, 48.0941__58.9627, 49.1457__58.8400, 50.0606__58.6567, 50.5556__58.5662, 50.9673__58.4436, 51.8107__58.4122, 52.5454__58.2752, 54.0026__58.3679, 54.5351__58.4869, 55.6807__58.3694, 56.5894__58.0577, 58.2888__57.9487, 59.5667__57.8579, 60.4431__57.6435, 61.0655__57.5012, 61.3140__57.3612, 61.5795__57.2523, 61.8658__57.1539, 62.0826__57.0732, 62.3652__57.0461, 62.6133__57.1713, 64.0000__57.4233, 
0.0000__58.0927, 0.2155__58.1067, 0.4963__58.0993, 0.7439__58.0240, 1.1070__57.9182, 1.8930__57.7820, 2.8985__57.6588, 4.2146__57.6853, 5.0916__57.7316, 6.5501__57.8539, 7.3730__57.9094, 8.0013__57.9879, 8.5436__58.0954, 9.0278__58.2371, 9.4971__58.3714, 10.2360__58.5193, 11.1616__58.4540, 12.0710__58.5291, 13.2178__58.6606, 14.3777__58.7508, 15.5390__58.9744, 16.6868__59.3060, 17.8090__59.6384, 18.9261__60.0677, 19.9891__60.5794, 21.2534__61.1048, 22.7219__61.5458, 24.2911__61.8650, 26.0196__62.2100, 27.9204__62.4924, 30.1592__62.5670, 32.3323__62.4341, 34.2070__62.1054, 35.8408__61.7314, 37.3264__61.4068, 38.7466__60.8999, 39.9607__60.3186, 41.0221__59.8973, 42.2217__59.4236, 43.3290__59.0637, 44.4862__58.6866, 45.7057__58.4591, 46.8676__58.2806, 48.1864__58.1656, 49.4769__58.0127, 50.3245__57.9621, 51.0513__57.8578, 51.5468__57.6307, 52.1589__57.5800, 52.7700__57.5271, 53.6610__57.4800, 54.4876__57.4711, 55.9249__57.3095, 56.9455__57.1307, 58.4247__57.0152, 59.7298__56.9363, 60.6251__56.7978, 61.1564__56.6516, 61.4092__56.5653, 61.6845__56.4658, 61.9280__56.3745, 62.2664__56.2678, 62.5094__56.2384, 62.6844__56.3146, 64.0000__56.2727, 
0.0000__57.2574, 0.3034__57.1916, 0.5105__57.1932, 0.7189__57.1998, 1.0897__57.0920, 1.8721__56.8990, 2.8991__56.7490, 4.0667__56.7205, 5.1274__56.7712, 6.4009__56.8971, 7.5067__57.0098, 7.9875__57.1908, 8.4486__57.3861, 8.8311__57.5351, 9.2816__57.6735, 10.0238__57.7638, 11.1649__57.8353, 11.8633__57.8803, 12.8907__57.9549, 14.0644__58.0424, 15.1534__58.2604, 16.2260__58.5925, 17.3299__59.0909, 18.3292__59.5206, 19.4760__60.0773, 20.7136__60.6148, 22.2169__61.2027, 23.9356__61.5678, 25.7393__61.9200, 27.7651__62.2485, 30.2083__62.3498, 32.5221__62.2031, 34.5238__61.7893, 36.2414__61.4396, 37.8799__61.0360, 39.3439__60.3269, 40.4836__59.9002, 41.6608__59.2801, 42.6653__58.8279, 43.8320__58.3301, 44.8651__57.9639, 46.0207__57.7246, 47.2353__57.5383, 48.4079__57.2824, 49.4743__57.2847, 50.6671__57.2774, 51.4456__57.0942, 51.8166__56.9746, 52.2899__56.8460, 52.8381__56.7052, 53.4839__56.5913, 54.5590__56.5211, 56.1186__56.3407, 57.1074__56.2058, 58.6264__56.1666, 59.8169__56.0778, 60.8083__55.9758, 61.2278__55.8638, 61.4751__55.7821, 61.7584__55.7294, 62.0675__55.5975, 62.3630__55.5058, 62.6131__55.5109, 62.9037__55.4960, 64.0000__55.4678, 
0.0000__56.2989, 0.3106__56.3817, 0.4954__56.4538, 0.7026__56.4127, 1.0845__56.2271, 1.8875__55.9924, 2.8353__55.8254, 3.9485__55.7980, 5.0431__55.8022, 6.2456__55.8897, 7.4663__56.1043, 8.0844__56.3045, 8.4949__56.5367, 8.7825__56.7873, 9.1504__56.9898, 10.0241__56.9721, 11.0140__57.0010, 11.8830__57.1656, 12.6567__57.2861, 13.7023__57.4189, 14.5987__57.6423, 15.6806__57.9485, 16.6434__58.4252, 17.7904__59.0197, 18.8764__59.4708, 20.1865__60.1005, 21.6800__60.7330, 23.5760__61.2953, 25.3295__61.4700, 27.6293__61.8045, 30.2019__61.9716, 32.8366__61.7121, 34.8854__61.3743, 36.6664__61.1872, 38.5145__60.4422, 39.8226__59.8919, 41.1547__59.2659, 42.2573__58.7600, 43.3704__58.1009, 44.3175__57.6355, 45.4493__57.3320, 46.5468__57.0654, 47.6736__56.8623, 48.5982__56.7854, 49.5652__56.6146, 50.8509__56.4853, 51.5593__56.4181, 51.9116__56.2007, 52.2822__56.0122, 52.7886__55.8424, 53.4368__55.6883, 54.6301__55.5194, 56.2136__55.4215, 57.2280__55.3082, 58.7213__55.2467, 59.9496__55.2244, 60.9153__55.1600, 61.3107__55.0910, 61.5401__55.0172, 61.8106__54.9348, 62.1726__54.9135, 62.4521__54.7980, 62.7269__54.6835, 62.9338__54.6771, 64.0000__54.7938, 
0.0000__55.4713, 0.2815__55.4870, 0.5683__55.5115, 0.7597__55.5041, 1.0916__55.3520, 1.8992__55.1046, 2.7784__54.9215, 3.7937__54.8916, 5.0021__54.8904, 6.1152__54.9020, 7.2910__55.0931, 8.2375__55.2855, 8.5648__55.5795, 8.7958__55.9147, 9.1680__56.1183, 10.0204__56.2002, 10.9361__56.1801, 11.6982__56.2938, 12.5422__56.5264, 13.3598__56.7741, 14.2232__57.0193, 14.9667__57.3877, 16.0607__57.7369, 17.1275__58.2871, 18.3781__58.9406, 19.5467__59.5096, 21.1498__60.1712, 23.0448__60.8710, 25.3113__61.0673, 27.2591__60.3264, 30.3844__59.9308, 33.0994__60.5121, 34.9912__61.0568, 37.2787__60.6962, 39.0452__59.8835, 40.4878__59.3172, 41.7335__58.7065, 42.9651__57.9848, 43.9291__57.4064, 44.9976__57.0344, 45.8981__56.6243, 46.8931__56.3370, 47.6759__56.1009, 48.5634__55.8927, 49.7326__55.7554, 50.7499__55.6866, 51.5744__55.5616, 51.9184__55.3337, 52.1795__55.0713, 52.6144__54.8654, 53.5289__54.7528, 54.8128__54.4879, 56.1945__54.3827, 57.4240__54.4080, 58.8203__54.3423, 60.0373__54.3871, 60.9898__54.3900, 61.3552__54.3417, 61.5635__54.3014, 61.8605__54.2529, 62.1975__54.1648, 62.5235__54.1119, 62.7726__54.0779, 63.0462__53.9588, 64.0000__53.8319, 
