0.0000__32.0000, 0.0000__32.0000, 0.0001__32.0000, 0.0002__32.0000, 31.9982__32.0000, 31.9999__32.0000, 31.9995__32.0000, 31.9990__32.0000, 0.0086__32.0000, 0.1770__32.0000, 15.6373__32.0000, 31.9979__32.0000, 32.0000__32.0000, 31.9121__32.0000, 32.0000__32.0000, 31.4581__32.0000, 31.9996__32.0000, 32.0000__32.0000, 32.0000__32.0000, 31.9999__32.0000, 32.0000__32.0000, 31.9991__32.0000, 32.0000__32.0000, 17.5664__32.0000, 31.9999__32.0000, 26.3995__32.0000, 31.9979__32.0000, 11.9499__32.0000, 31.9998__32.0000, 0.2620__32.0000, 31.9999__32.0000, 32.0000__32.0000, 32.0000__32.0000, 
0.0000__31.4698, 0.0004__31.2584, 0.0707__1.2974, 17.5049__12.8466, 31.6573__8.5214, 31.7294__12.7147, 3.0560__30.4994, 31.5735__8.5020, 31.8036__19.2631, 31.9243__22.3639, 31.9181__9.9788, 31.8124__6.5807, 31.9738__8.4255, 31.9509__5.5557, 31.9513__20.8492, 31.9978__10.2762, 31.7872__8.8389, 30.7286__5.2593, 31.9210__8.8732, 31.9102__1.7779, 31.9565__21.4858, 31.9677__3.2710, 31.9960__8.2769, 31.8816__4.1636, 31.7547__22.3232, 31.4487__8.3086, 31.9761__6.9722, 31.9953__1.6028, 31.9772__18.2919, 31.2423__8.2282, 31.9659__26.0766, 31.9844__27.8944, 32.0000__10.8486, 
0.0000__5.7029, 0.0061__2.7398, 0.0384__1.4413, 0.0005__29.6487, 31.8140__26.6902, 7.1808__2.4486, 31.1916__8.9237, 31.2206__20.0875, 31.8530__8.0162, 31.8847__8.5522, 29.0333__9.1625, 31.9989__26.7146, 31.7522__8.4786, 31.9854__25.2836, 31.9992__8.3912, 31.8929__8.5229, 31.9059__14.6111, 31.6154__18.7758, 31.7129__6.4218, 31.7109__21.6069, 31.9829__4.4097, 31.9887__3.8144, 31.9439__2.8582, 31.4606__5.0968, 31.8677__8.6008, 31.3322__8.3423, 31.8221__20.2175, 31.3375__8.4344, 31.6364__10.8288, 31.9852__27.9020, 31.2698__8.4289, 31.9992__8.1704, 32.0000__3.0893, 
0.0000__1.2472, 1.0933__0.1313, 31.5768__26.1156, 0.1276__0.4115, 31.9390__1.2659, 31.3902__6.3270, 0.0370__3.4815, 31.9886__3.6230, 31.8461__6.1381, 31.9971__6.2981, 31.4329__11.6105, 31.8726__8.4204, 31.9869__8.5377, 31.5152__4.1257, 31.9639__9.2985, 31.9953__3.1144, 31.9984__2.5191, 31.7289__8.4694, 24.4338__31.9320, 31.0649__8.8628, 31.8691__20.8433, 31.9776__5.7483, 31.9996__5.4687, 31.9948__8.5121, 31.9886__27.8430, 31.7928__8.5523, 31.6852__8.5486, 31.9976__8.4873, 31.9381__5.1403, 31.9986__4.5412, 31.5042__16.5013, 31.9972__12.7888, 32.0000__8.6509, 
0.0000__0.5487, 30.3915__4.5131, 0.0019__31.9592, 1.4255__6.6692, 1.3413__0.0020, 31.6607__12.0453, 31.9445__19.2828, 31.9963__8.3346, 31.7513__8.0823, 31.1184__8.0947, 31.8908__2.9282, 31.9914__11.9480, 1.0787__26.9916, 31.9113__8.4857, 31.9187__7.3119, 31.7679__8.6822, 31.7851__8.6569, 31.2520__8.2179, 31.8806__4.3402, 30.8179__23.2673, 31.9916__1.0340, 31.9498__5.8007, 31.9986__2.5883, 31.9906__8.3797, 31.9805__0.9673, 31.9499__6.6235, 31.9980__4.8534, 31.9991__1.9209, 31.7267__5.8540, 31.9011__8.5871, 30.8943__4.2752, 31.9217__7.0809, 32.0000__3.1945, 
0.0000__0.0420, 5.0271__4.1880, 29.8107__3.1110, 31.8568__6.7678, 31.8585__22.4951, 31.9978__4.0450, 0.2154__7.1825, 31.9507__1.0862, 31.1662__5.2472, 31.9990__3.1514, 31.6826__1.7555, 31.3288__9.3844, 31.9703__7.7616, 31.9950__8.5534, 31.9423__6.1028, 31.9972__12.8210, 31.9877__5.1819, 31.9773__8.5804, 31.4463__8.3288, 25.6211__5.0164, 31.9827__7.8807, 31.9260__1.0349, 31.9901__1.0746, 31.3544__20.5035, 31.9459__2.0657, 31.6426__7.5225, 31.8537__8.4589, 31.8683__8.5458, 31.4764__9.0111, 29.5640__8.1883, 31.9986__2.5191, 31.9997__3.3247, 32.0000__4.3081, 
0.0000__2.2910, 30.9128__4.6793, 30.5913__3.9197, 0.0081__31.9093, 31.4019__6.0885, 31.9897__2.8249, 31.8802__8.5415, 31.7902__0.0526, 31.9013__26.0799, 31.5636__25.5339, 31.9893__1.6416, 31.9374__8.6630, 31.9784__4.4753, 31.9980__3.1641, 31.9902__5.1273, 31.9561__3.7427, 31.8637__8.6982, 31.9336__8.5518, 31.8453__2.6994, 31.6225__8.2611, 31.6261__0.2342, 31.9168__8.6274, 31.7741__5.1380, 31.9319__6.0235, 31.8237__14.1148, 31.3336__7.7863, 31.9791__8.4234, 31.9697__1.0606, 31.0892__6.2334, 31.9985__17.4361, 31.9865__29.4316, 31.9159__20.0400, 32.0000__8.9281, 
0.0000__0.0005, 4.1167__0.1092, 31.9443__4.1320, 31.9518__5.2167, 31.9689__9.4101, 31.3119__26.9021, 31.9577__4.5732, 31.9224__3.3859, 31.3446__22.2540, 31.9053__5.0746, 31.7337__8.4579, 31.7805__1.3488, 31.9967__13.3734, 31.8398__0.6725, 31.8857__9.3397, 31.8325__8.7758, 30.9587__7.7547, 31.9861__6.5587, 31.9649__8.5903, 31.8406__7.3341, 31.9916__14.7161, 31.8867__0.2843, 31.9998__1.0342, 31.9187__0.6205, 31.9332__0.3391, 31.9657__3.5726, 31.9998__2.7941, 31.9611__1.0532, 31.7894__1.4252, 31.4630__7.7208, 31.9991__4.3924, 30.1547__7.9854, 32.0000__2.6782, 
0.0000__0.0007, 31.6477__5.6247, 31.6871__6.9428, 30.9106__5.7194, 30.3826__5.9804, 31.0943__8.3121, 31.9478__2.8160, 23.0920__8.6530, 31.4493__25.1249, 31.5981__8.0727, 31.8218__8.5223, 31.5073__5.2805, 31.7549__8.6924, 31.2254__8.5547, 31.3732__7.5707, 31.9987__27.4484, 31.9624__8.6291, 31.9893__24.4754, 31.9999__2.3598, 0.3019__1.2230, 31.9156__4.2698, 26.4596__31.6966, 31.6660__7.4194, 31.9930__3.3277, 31.8514__8.8007, 31.8083__9.1778, 31.9864__4.3110, 31.9984__3.5070, 31.8867__7.7098, 31.9879__1.6965, 31.7892__0.6126, 31.9919__2.0195, 32.0000__6.8247, 
0.0000__0.0001, 31.7244__7.1871, 31.9908__4.1376, 31.9994__2.3083, 0.0853__31.9764, 31.9672__5.0557, 27.6222__4.6770, 31.6920__0.8101, 31.7919__8.3906, 31.9911__2.1222, 31.7033__7.6490, 31.9113__7.8835, 31.5076__4.7571, 31.4596__8.0128, 31.2013__8.3387, 31.9104__1.7528, 31.9863__6.2454, 31.9959__4.7486, 32.0000__2.7251, 31.7995__3.0183, 31.9121__18.1791, 31.9830__5.8902, 31.9983__3.2769, 21.3186__8.6277, 31.9552__8.6513, 31.9999__2.8078, 16.0158__7.4437, 31.9677__12.2198, 31.8237__8.5438, 31.7771__1.5460, 30.6444__4.2847, 31.8179__8.6601, 32.0000__2.4593, 
