0.0000__32.0000, 0.0000__32.0000, 0.4085__32.0000, 0.8174__32.0000, 5.6081__32.0000, 6.2506__32.0000, 6.3302__32.0000, 8.0573__32.0000, 10.9629__32.0000, 11.0683__32.0000, 12.3239__32.0000, 12.4082__32.0000, 12.5122__32.0000, 12.9549__32.0000, 13.9479__32.0000, 14.0321__32.0000, 14.4276__32.0000, 15.4442__32.0000, 15.4477__32.0000, 16.1895__32.0000, 16.5444__32.0000, 17.5489__32.0000, 19.1041__32.0000, 21.2943__32.0000, 22.0790__32.0000, 22.5311__32.0000, 22.5393__32.0000, 23.9249__32.0000, 26.7454__32.0000, 28.3934__32.0000, 30.2225__32.0000, 31.2140__32.0000, 32.0000__32.0000, 
0.0000__31.8817, 0.1068__31.6886, 0.2467__31.1901, 0.7020__31.8671, 5.6565__31.8366, 6.1397__30.8803, 6.2461__30.6236, 8.5838__30.5063, 9.9479__30.9973, 11.1871__31.5423, 11.8682__31.1929, 12.2921__31.4535, 12.8900__31.1322, 13.0751__30.9282, 13.5778__31.1531, 14.0452__31.5073, 14.6368__31.3597, 15.4625__31.9587, 16.2604__31.6832, 16.4557__31.8060, 17.6774__31.8587, 18.2254__31.8196, 19.7673__31.5931, 21.1127__31.6735, 22.6180__31.4729, 22.4851__31.8438, 23.1742__31.9505, 24.7522__30.9770, 25.7928__31.0975, 28.9297__31.5388, 29.8248__31.6863, 31.4646__31.7682, 32.0000__31.4316, 
0.0000__30.5620, 0.4457__30.7695, 0.3741__30.9165, 0.4190__30.5654, 4.3871__28.5686, 6.6180__29.8146, 6.9954__29.8249, 9.0302__30.0941, 9.7278__30.0247, 11.6070__29.9477, 11.8230__30.0191, 12.2145__29.8930, 12.8330__30.3868, 12.9823__30.7362, 13.7957__30.3791, 14.0248__30.3904, 14.4900__30.5305, 15.8515__30.0442, 16.5323__31.0179, 17.4777__30.5666, 18.4404__30.8580, 19.1879__30.8049, 20.4168__30.9697, 21.1970__30.8252, 22.5399__31.0649, 23.8880__30.0334, 24.4026__30.1435, 24.8156__30.5491, 25.4815__30.5214, 29.2129__30.2465, 29.3937__30.2640, 31.6572__29.8555, 32.0000__30.1963, 
0.0000__29.9757, 0.1921__30.3894, 0.8677__30.3362, 2.4454__29.0539, 2.4758__29.0587, 6.3535__28.7989, 6.6663__29.7860, 8.5418__29.6758, 9.7723__29.8994, 11.6665__29.7948, 12.0460__29.5708, 12.3171__29.4410, 12.5398__29.6939, 12.6709__29.7160, 13.3511__29.6291, 14.1122__30.4301, 14.7364__30.4848, 15.3167__29.9455, 16.0889__29.8805, 16.8719__30.0423, 18.3514__30.7640, 18.9979__30.7167, 21.1064__30.9027, 21.9657__30.8199, 22.1217__30.7294, 23.5319__29.4813, 24.6016__30.3780, 25.1561__29.8451, 25.9640__29.2573, 28.8313__30.0445, 30.1429__30.1470, 31.7739__29.6680, 32.0000__29.3436, 
0.0000__27.1585, 0.3018__26.7162, 2.5025__28.1458, 2.4348__29.0512, 3.9234__28.3305, 4.6757__27.1224, 5.9209__27.5189, 8.0763__27.7147, 9.3056__27.4361, 11.1378__27.5195, 11.7458__27.8737, 11.9655__28.1227, 12.4727__27.8387, 12.7701__27.5667, 13.0773__27.6085, 14.0301__27.2143, 15.3477__27.6724, 15.8281__27.7242, 16.6032__27.9397, 17.1263__26.9999, 18.6554__27.6548, 19.3701__27.5641, 21.7521__28.0606, 22.7821__27.7791, 23.6902__28.0984, 23.4670__27.4955, 24.7037__26.7213, 25.6247__27.1062, 25.8709__27.8919, 29.1980__26.9327, 30.3731__25.7132, 31.7168__26.0598, 32.0000__25.9889, 
0.0000__25.6475, 0.8272__25.9128, 1.5105__25.8410, 1.8488__25.4363, 4.6984__27.0950, 4.8478__26.8807, 4.8317__26.8523, 8.8377__26.5827, 10.3119__26.2756, 11.4665__26.0200, 11.5128__26.0263, 11.8456__26.1066, 12.5725__25.9746, 12.6211__26.0213, 13.2501__26.0447, 13.3330__26.3120, 15.3020__26.9393, 15.8029__26.1672, 16.3436__26.2629, 16.8534__25.9180, 16.9800__26.0171, 17.5318__26.3851, 21.4318__27.6536, 22.9113__26.8429, 23.2828__26.3602, 24.5928__25.6299, 24.5714__25.5849, 24.9471__25.8754, 26.0322__25.7353, 29.4931__25.4995, 31.0733__24.4843, 31.4432__24.1108, 32.0000__24.0215, 
0.0000__25.6270, 1.0388__25.9091, 1.8624__25.4165, 1.8628__25.4307, 3.9046__26.0101, 4.7996__26.8068, 4.9578__26.6564, 5.8535__26.1843, 10.1501__26.4394, 10.6882__25.7829, 12.0807__26.0271, 12.2942__25.9707, 12.2830__26.0040, 12.7679__25.8194, 13.1968__25.7336, 14.2469__25.2155, 15.8299__25.8765, 16.8826__25.8451, 17.0228__25.6629, 17.1314__25.5917, 17.2258__25.2876, 18.6563__25.5430, 22.6036__26.5490, 23.2435__26.0928, 24.5706__25.5840, 24.3368__23.8465, 24.5976__25.0356, 26.2292__25.5470, 27.1631__25.4567, 29.1819__25.4132, 31.0291__24.4107, 31.4393__24.0412, 32.0000__23.9378, 
0.0000__23.7272, 1.3692__22.9987, 1.3718__22.4542, 1.9519__23.0951, 4.0177__23.2654, 4.6377__22.2929, 5.8256__26.1958, 5.7798__25.9678, 8.3218__22.3342, 10.9878__23.5523, 12.0773__22.6871, 12.2525__22.9881, 12.5059__23.2293, 13.3068__22.3258, 14.0512__21.8341, 14.5397__21.6349, 14.8463__22.1238, 15.8816__22.1202, 16.2127__21.8225, 17.3885__22.5203, 17.8406__21.7429, 19.2085__21.6974, 20.9844__22.5250, 22.5712__21.9220, 23.6469__21.0465, 24.1141__20.4388, 24.3826__20.5474, 26.2601__22.5734, 27.3533__23.0532, 29.0343__22.5851, 30.5094__21.7212, 31.1589__22.0167, 32.0000__22.4076, 
0.0000__20.4934, 0.8498__21.4269, 1.4739__21.5022, 1.7886__21.3716, 4.1331__22.3075, 4.8229__21.1145, 4.7303__21.3717, 8.4297__22.0651, 8.4040__22.1153, 10.0205__21.3985, 11.4209__23.1906, 12.5919__21.7290, 13.2335__21.7715, 14.2518__20.6168, 14.1180__20.2593, 14.1185__20.2097, 14.9324__20.7646, 15.8335__21.6737, 16.3586__21.3560, 17.6485__21.3411, 18.2321__20.4470, 19.0712__20.0798, 20.3435__20.3386, 22.2929__20.7856, 23.5942__20.7283, 23.9367__19.7469, 24.3503__20.0336, 25.3245__20.2458, 26.7782__20.1772, 28.9699__21.0357, 30.1787__20.2832, 30.7593__21.0614, 32.0000__21.7606, 
0.0000__20.2764, 0.4030__20.2913, 1.6342__20.5962, 1.8928__20.5082, 4.1900__20.9081, 5.0583__20.5186, 5.6910__20.8485, 7.9224__20.6727, 9.1530__21.7190, 11.8824__20.8430, 13.7403__18.6999, 13.7152__19.0017, 12.9203__21.2364, 14.0393__20.0192, 14.3366__19.0075, 14.3776__19.2091, 14.3910__19.1863, 15.4312__19.6655, 15.1984__19.1488, 17.9492__20.4387, 18.4788__19.5262, 18.6802__18.5069, 20.1257__19.3622, 21.2737__20.1569, 23.3875__19.7982, 23.6639__19.1925, 24.0641__19.2386, 25.5981__19.6826, 26.1109__19.7608, 29.0662__20.0165, 30.0114__19.4954, 30.8635__19.5351, 32.0000__19.5516, 
