0.0000__32.0000, 0.0000__32.0000, 0.0124__32.0000, 0.0076__32.0000, 0.0043__32.0000, 0.0049__32.0000, 0.0021__32.0000, 0.0124__32.0000, 0.0389__32.0000, 0.0074__32.0000, 13.8912__32.0000, 4.2578__32.0000, 0.0600__32.0000, 0.0291__32.0000, 0.0279__32.0000, 0.0279__32.0000, 0.0286__32.0000, 24.4652__32.0000, 14.5040__32.0000, 0.0082__32.0000, 0.0043__32.0000, 0.0269__32.0000, 0.0183__32.0000, 0.0024__32.0000, 0.0267__32.0000, 0.0171__32.0000, 0.0218__32.0000, 0.0255__32.0000, 0.0288__32.0000, 0.0200__32.0000, 27.0917__32.0000, 27.7606__32.0000, 32.0000__32.0000, 
0.0000__28.2741, 0.7678__14.8381, 0.3615__11.8345, 0.1688__15.1780, 8.9062__27.1122, 0.4071__19.6548, 27.0795__21.3826, 27.9176__19.6912, 0.4149__10.3774, 5.7323__23.9534, 2.8758__17.8832, 0.6753__20.4883, 1.2108__27.5955, 8.6767__31.3302, 2.1493__16.5663, 0.7916__5.6691, 3.7647__19.3922, 0.1937__6.2616, 5.0544__5.9398, 2.3130__20.6981, 22.6906__19.3362, 0.1725__14.4335, 19.7544__28.8283, 2.9001__30.3064, 8.3951__26.5229, 1.5216__23.3236, 2.7255__10.2176, 22.6021__30.5975, 1.5625__11.5698, 0.4711__11.2477, 31.9812__31.6601, 1.1279__7.4769, 32.0000__25.7225, 
0.0000__12.5942, 3.1059__4.5309, 22.0496__26.2716, 3.4265__12.3800, 15.6947__16.3873, 0.0561__6.7470, 0.3354__12.4078, 25.2407__10.0205, 1.0721__16.6337, 25.1829__29.8604, 31.4739__18.9150, 0.9353__10.0659, 0.5286__15.3064, 3.3574__16.5934, 0.1891__11.9313, 15.4974__19.3310, 23.5008__7.5964, 1.1129__4.6862, 0.2530__14.2281, 17.0159__30.4430, 16.3029__30.9295, 0.7986__13.3704, 0.1178__11.4967, 1.3940__7.3279, 1.1448__16.6743, 2.8071__0.5033, 22.3099__14.8975, 2.5270__14.2780, 1.0414__19.9253, 12.4861__31.6416, 0.3663__13.0577, 26.9328__29.8908, 32.0000__30.8726, 
0.0000__21.5545, 0.3327__8.3906, 2.8278__8.8178, 0.1977__7.8302, 1.6587__8.7374, 8.9824__5.5044, 7.0683__10.7282, 10.7861__8.5300, 0.8194__20.5927, 23.6412__21.5663, 0.4548__15.8145, 4.1196__6.1272, 3.2416__9.6178, 7.3763__1.3900, 0.2591__12.9973, 4.4716__18.5052, 2.9330__1.1666, 6.7546__10.7609, 28.3191__1.3732, 4.0273__18.1085, 10.7771__30.1219, 23.9404__23.6525, 0.1685__20.3375, 0.4370__13.5369, 0.2406__13.2964, 0.4050__14.3558, 24.9176__21.9274, 3.0751__18.0626, 0.9045__13.7290, 1.0168__12.1284, 17.7851__31.4975, 31.2308__30.7607, 32.0000__28.6875, 
0.0000__11.4103, 0.9556__15.6859, 1.0354__11.3340, 2.9185__7.0406, 1.9171__7.8441, 17.7209__3.3756, 5.2709__11.3314, 0.8982__8.3788, 0.0809__12.2337, 0.1462__8.3716, 1.8835__6.2467, 16.4496__17.2909, 1.5935__3.7303, 11.2732__3.3611, 9.2213__8.8887, 14.6776__28.2144, 0.3949__14.6388, 1.2438__18.5184, 11.1977__23.2537, 1.1618__11.8989, 0.7305__12.0133, 10.2092__4.1568, 19.0042__29.5997, 0.4007__19.8525, 26.9168__23.5918, 0.4879__10.8063, 0.7816__10.8743, 15.0402__8.4592, 0.1663__18.4196, 0.4088__17.2637, 0.0159__15.7512, 25.2374__29.4785, 32.0000__25.9738, 
0.0000__9.3548, 3.1915__22.3356, 1.0987__24.2499, 15.7857__10.2734, 0.9506__7.4173, 20.6754__3.1892, 6.9309__9.2785, 0.8354__8.9788, 20.7725__31.6161, 6.1051__5.6581, 0.0964__9.3130, 1.1420__9.2130, 11.6324__11.3865, 10.1039__20.7912, 1.2566__12.0227, 0.5508__8.9697, 5.5188__13.3109, 0.8023__3.4587, 1.4520__5.2676, 2.0447__4.6790, 4.8063__0.5281, 10.3558__14.8418, 6.8947__23.5265, 0.7008__2.4120, 2.2767__26.4243, 0.3465__12.0645, 27.6920__28.3417, 0.9066__10.7366, 2.3960__19.3326, 29.9332__11.6249, 21.7429__31.5440, 24.9591__25.9650, 32.0000__29.1278, 
0.0000__13.1368, 0.8778__11.7576, 28.3574__14.3555, 3.5484__21.8909, 1.4847__5.4628, 22.1219__27.1361, 2.3422__11.8353, 2.0885__2.6396, 13.7715__26.8765, 0.7218__18.8926, 5.5473__21.6792, 1.4273__22.1223, 1.0592__9.3348, 2.5988__14.6285, 0.1687__15.1864, 13.3744__19.4641, 0.3726__19.4803, 2.1919__1.0500, 30.1564__4.9837, 1.0574__9.4263, 21.6646__23.6516, 1.7524__8.3958, 0.8707__10.5669, 30.4800__13.2892, 2.3671__19.7851, 25.6912__5.4639, 1.1442__6.0078, 20.1920__23.1140, 1.1768__2.4921, 28.1530__29.4514, 0.0413__24.9427, 0.0839__9.6750, 32.0000__30.0202, 
0.0000__14.5891, 24.5393__23.0941, 21.3258__8.7257, 24.2290__27.0672, 0.2544__11.8171, 3.8130__7.5636, 0.3823__10.1680, 4.8928__4.4787, 0.6344__6.7235, 3.2014__3.8340, 30.4669__22.6299, 9.9273__25.5485, 4.1426__7.6824, 31.3395__24.3545, 0.0738__13.4044, 0.2758__8.8124, 1.2637__7.5010, 23.5094__6.9006, 5.1345__28.1083, 1.5152__17.0329, 26.2703__4.4742, 0.9170__10.7023, 0.1248__14.3700, 22.9763__1.6227, 1.0228__7.7994, 31.3570__11.4089, 28.2179__28.2627, 3.9103__10.7449, 0.2124__11.6586, 22.5988__17.6378, 1.9230__7.5663, 0.0588__12.1835, 32.0000__20.9955, 
0.0000__11.1814, 2.2534__5.6364, 18.7842__24.0003, 25.5723__25.2016, 1.1457__4.0176, 1.9427__21.1241, 16.2339__16.0528, 1.8848__24.4570, 5.1656__9.6458, 1.7248__12.5047, 0.3339__10.6167, 0.6667__10.1612, 2.9775__9.0964, 1.8479__4.1775, 0.1320__10.2111, 28.4319__25.4249, 22.5449__19.9195, 0.5850__9.8205, 0.8353__2.7902, 0.3726__8.8046, 0.3395__9.1499, 0.8056__9.4912, 0.3134__8.1534, 3.2759__6.9771, 5.9318__26.8765, 11.7251__24.8363, 1.1696__14.4172, 31.5732__19.7627, 9.6099__24.6158, 2.6914__25.8611, 5.0755__15.8910, 31.6683__31.8011, 32.0000__27.5602, 
0.0000__12.6914, 0.2021__12.0454, 3.4659__16.5217, 5.3459__27.9873, 0.2951__11.5542, 27.8217__22.3364, 8.5844__23.2057, 0.1653__14.1798, 8.5810__1.8297, 8.7101__19.1161, 6.7164__0.1943, 0.4926__17.4986, 5.5497__19.0272, 0.1944__10.6843, 29.5977__12.0403, 15.5515__10.6100, 26.1400__20.6112, 2.4319__1.9901, 0.2150__16.0914, 4.0631__25.2445, 25.7743__28.9646, 2.8054__0.9011, 21.1401__3.2116, 23.3842__22.4151, 4.9589__2.5225, 2.3180__14.3908, 3.8761__22.2814, 1.1955__6.9100, 25.7511__22.2645, 19.6978__12.8730, 27.8298__23.6544, 0.8657__13.1727, 32.0000__27.7691, 
