0.0000__64.0000, 1.0419__64.0000, 2.0841__64.0000, 3.1269__64.0000, 4.1704__64.0000, 5.2149__64.0000, 6.2604__64.0000, 7.3068__64.0000, 8.3539__64.0000, 9.4019__64.0000, 10.4493__64.0000, 11.4959__64.0000, 12.5416__64.0000, 13.5854__64.0000, 14.6266__64.0000, 15.6641__64.0000, 16.6983__64.0000, 17.7283__64.0000, 18.7540__64.0000, 19.7762__64.0000, 20.7952__64.0000, 21.8123__64.0000, 22.8286__64.0000, 23.8452__64.0000, 24.8636__64.0000, 25.8854__64.0000, 26.9122__64.0000, 27.9447__64.0000, 28.9847__64.0000, 30.0316__64.0000, 31.0895__64.0000, 32.1479__64.0000, 33.2215__64.0000, 34.2796__64.0000, 35.3400__64.0000, 36.3747__64.0000, 37.3218__64.0000, 38.6657__64.0000, 39.6049__64.0000, 40.6283__64.0000, 41.6185__64.0000, 42.6053__64.0000, 43.5792__64.0000, 44.5451__64.0000, 45.5027__64.0000, 46.4535__64.0000, 47.3985__64.0000, 48.3386__64.0000, 49.2746__64.0000, 50.2071__64.0000, 51.1368__64.0000, 52.0640__64.0000, 52.9890__64.0000, 53.9122__64.0000, 54.8338__64.0000, 55.7543__64.0000, 56.6732__64.0000, 57.5913__64.0000, 58.5085__64.0000, 59.4250__64.0000, 60.3407__64.0000, 61.2560__64.0000, 62.1709__64.0000, 63.0855__64.0000, 64.0000__64.0000, 
0.0000__63.2109, 1.0417__63.2109, 2.0838__63.2114, 3.1265__63.2118, 4.1700__63.2126, 5.2145__63.2132, 6.2600__63.2141, 7.3065__63.2147, 8.3537__63.2152, 9.4018__63.2161, 10.4495__63.2144, 11.4964__63.2147, 12.5424__63.2132, 13.5865__63.2117, 14.6278__63.2093, 15.6659__63.2063, 16.6998__63.2038, 17.7299__63.1998, 18.7554__63.1971, 19.7774__63.1942, 20.7961__63.1921, 21.8127__63.1910, 22.8284__63.1907, 23.8445__63.1916, 24.8624__63.1936, 25.8836__63.1969, 26.9097__63.2013, 27.9420__63.2061, 28.9812__63.2124, 30.0298__63.2180, 31.0832__63.2251, 32.1523__63.2276, 33.2106__63.2319, 34.2937__63.2292, 35.3432__63.2144, 36.3945__63.2068, 37.4285__63.1295, 38.5998__63.1269, 39.6274__63.1994, 40.6268__63.1751, 41.6253__63.1710, 42.6085__63.1601, 43.5836__63.1524, 44.5486__63.1446, 45.5058__63.1380, 46.4562__63.1323, 47.4007__63.1274, 48.3405__63.1233, 49.2762__63.1198, 50.2086__63.1168, 51.1379__63.1144, 52.0649__63.1121, 52.9898__63.1103, 53.9130__63.1087, 54.8346__63.1073, 55.7547__63.1060, 56.6738__63.1050, 57.5918__63.1041, 58.5089__63.1032, 59.4252__63.1026, 60.3409__63.1020, 61.2562__63.1016, 62.1710__63.1012, 63.0856__63.1011, 64.0000__63.1010, 
0.0000__62.4215, 1.0414__62.4217, 2.0831__62.4226, 3.1255__62.4235, 4.1688__62.4251, 5.2132__62.4265, 6.2588__62.4282, 7.3056__62.4296, 8.3532__62.4306, 9.4014__62.4322, 10.4499__62.4295, 11.4977__62.4298, 12.5449__62.4268, 13.5894__62.4239, 14.6323__62.4190, 15.6703__62.4131, 16.7053__62.4072, 17.7343__62.3997, 18.7602__62.3938, 19.7809__62.3879, 20.7988__62.3837, 21.8140__62.3811, 22.8281__62.3805, 23.8424__62.3822, 24.8585__62.3862, 25.8779__62.3928, 26.9024__62.4015, 27.9333__62.4122, 28.9726__62.4236, 30.0189__62.4379, 31.0787__62.4472, 32.1362__62.4631, 33.2285__62.4620, 34.2739__62.4628, 35.3856__62.4522, 36.4327__62.4052, 37.5459__62.3896, 38.5830__62.3783, 39.6379__62.3694, 40.6412__62.3611, 41.6373__62.3378, 42.6232__62.3213, 43.5954__62.3032, 44.5593__62.2883, 45.5149__62.2751, 46.4640__62.2637, 47.4075__62.2542, 48.3461__62.2460, 49.2810__62.2391, 50.2126__62.2333, 51.1415__62.2282, 52.0680__62.2241, 52.9925__62.2204, 53.9152__62.2172, 54.8364__62.2143, 55.7566__62.2120, 56.6753__62.2099, 57.5930__62.2079, 58.5100__62.2064, 59.4262__62.2049, 60.3417__62.2039, 61.2567__62.2030, 62.1714__62.2024, 63.0857__62.2020, 64.0000__62.2019, 
0.0000__61.6318, 1.0407__61.6321, 2.0818__61.6333, 3.1237__61.6350, 4.1667__61.6374, 5.2110__61.6399, 6.2567__61.6425, 7.3038__61.6448, 8.3522__61.6465, 9.4009__61.6478, 10.4503__61.6466, 11.5008__61.6450, 12.5475__61.6421, 13.5959__61.6366, 14.6371__61.6300, 15.6803__61.6204, 16.7122__61.6099, 17.7443__61.6002, 18.7674__61.5893, 19.7879__61.5807, 20.8033__61.5738, 21.8163__61.5695, 22.8276__61.5685, 23.8390__61.5708, 24.8520__61.5769, 25.8684__61.5866, 26.8898__61.6003, 27.9191__61.6164, 28.9559__61.6359, 30.0049__61.6533, 31.0597__61.6789, 32.1337__61.6837, 33.1888__61.7167, 34.3352__61.6950, 35.3526__61.6859, 36.5049__61.6664, 37.5491__61.6088, 38.6260__61.6012, 39.6512__61.5632, 40.6647__61.5388, 41.6649__61.5086, 42.6436__61.4781, 43.6167__61.4532, 44.5769__61.4296, 45.5304__61.4103, 46.4769__61.3936, 47.4183__61.3794, 48.3555__61.3675, 49.2889__61.3574, 50.2193__61.3487, 51.1470__61.3417, 52.0728__61.3353, 52.9966__61.3299, 53.9189__61.3252, 54.8398__61.3213, 55.7593__61.3175, 56.6777__61.3143, 57.5953__61.3117, 58.5119__61.3092, 59.4277__61.3073, 60.3430__61.3054, 61.2577__61.3042, 62.1720__61.3032, 63.0861__61.3027, 64.0000__61.3024, 
0.0000__60.8414, 1.0398__60.8420, 2.0800__60.8435, 3.1211__60.8462, 4.1635__60.8494, 5.2076__60.8533, 6.2535__60.8569, 7.3010__60.8606, 8.3504__60.8629, 9.4001__60.8647, 10.4520__60.8641, 11.5015__60.8632, 12.5560__60.8565, 13.5979__60.8513, 14.6516__60.8420, 15.6868__60.8290, 16.7310__60.8144, 17.7548__60.7982, 18.7810__60.7847, 19.7972__60.7713, 20.8107__60.7619, 21.8199__60.7555, 22.8276__60.7537, 23.8346__60.7564, 24.8428__60.7644, 25.8547__60.7777, 26.8721__60.7956, 27.8968__60.8202, 28.9337__60.8437, 29.9771__60.8765, 31.0401__60.8951, 32.1061__60.9372, 33.1850__60.9121, 34.1939__60.9825, 35.4993__60.9683, 36.4986__60.8617, 37.6042__60.8742, 38.6599__60.7918, 39.6794__60.7651, 40.7139__60.7225, 41.6953__60.6691, 42.6805__60.6360, 43.6429__60.5974, 44.6021__60.5688, 45.5509__60.5424, 46.4948__60.5209, 47.4335__60.5025, 48.3680__60.4871, 49.2994__60.4740, 50.2282__60.4632, 51.1549__60.4536, 52.0794__60.4459, 53.0024__60.4389, 53.9241__60.4329, 54.8441__60.4273, 55.7632__60.4228, 56.6814__60.4186, 57.5983__60.4149, 58.5145__60.4117, 59.4300__60.4090, 60.3447__60.4068, 61.2590__60.4049, 62.1729__60.4037, 63.0865__60.4029, 64.0000__60.4027, 
0.0000__60.0501, 1.0384__60.0509, 2.0774__60.0529, 3.1175__60.0567, 4.1591__60.0610, 5.2028__60.0665, 6.2486__60.0716, 7.2970__60.0768, 8.3471__60.0806, 9.3995__60.0820, 10.4515__60.0849, 11.5083__60.0785, 12.5543__60.0798, 13.6215__60.0645, 14.6545__60.0581, 15.7157__60.0402, 16.7370__60.0154, 17.7791__59.9996, 18.7948__59.9757, 19.8119__59.9607, 20.8196__59.9462, 21.8253__59.9386, 22.8277__59.9348, 23.8287__59.9378, 24.8313__59.9473, 25.8363__59.9640, 26.8482__59.9882, 27.8684__60.0172, 28.8991__60.0565, 29.9496__60.0871, 31.0009__60.1363, 32.0803__60.1506, 33.1630__60.1941, 34.2174__60.0941, 35.3887__60.1048, 36.5651__60.2011, 37.6605__60.0365, 38.6719__60.0382, 39.7786__59.9571, 40.7419__59.8887, 41.7600__59.8417, 42.7183__59.7759, 43.6829__59.7416, 44.6310__59.7012, 45.5776__59.6717, 46.5166__59.6448, 47.4519__59.6228, 48.3836__59.6042, 49.3127__59.5889, 50.2394__59.5758, 51.1643__59.5649, 52.0877__59.5551, 53.0096__59.5470, 53.9301__59.5395, 54.8497__59.5332, 55.7683__59.5274, 56.6856__59.5223, 57.6021__59.5177, 58.5178__59.5138, 59.4327__59.5104, 60.3470__59.5075, 61.2607__59.5054, 62.1741__59.5037, 63.0871__59.5027, 64.0000__59.5025, 
0.0000__59.2576, 1.0366__59.2586, 2.0739__59.2615, 3.1126__59.2662, 4.1532__59.2722, 5.1961__59.2794, 6.2422__59.2865, 7.2907__59.2940, 8.3433__59.2989, 9.3963__59.3029, 10.4548__59.3043, 11.5082__59.3043, 12.5722__59.2908, 13.6064__59.2953, 14.6966__59.2681, 15.7067__59.2508, 16.7870__59.2283, 17.7938__59.1880, 18.8190__59.1715, 19.8274__59.1428, 20.8336__59.1295, 21.8332__59.1160, 22.8287__59.1113, 23.8235__59.1134, 24.8165__59.1243, 25.8152__59.1444, 26.8165__59.1735, 27.8309__59.2136, 28.8558__59.2553, 29.8979__59.3165, 30.9726__59.3490, 32.0481__59.4218, 33.1443__59.3978, 34.2788__59.3975, 35.3470__59.3228, 36.6617__59.2280, 37.5737__59.3753, 38.8565__59.2439, 39.7720__59.1284, 40.8587__59.0853, 41.7965__58.9702, 42.7762__58.9307, 43.7213__58.8690, 44.6720__58.8323, 45.6079__58.7938, 46.5430__58.7648, 47.4733__58.7394, 48.4018__58.7188, 49.3277__58.7011, 50.2522__58.6868, 51.1752__58.6740, 52.0970__58.6635, 53.0178__58.6540, 53.9376__58.6457, 54.8564__58.6381, 55.7740__58.6315, 56.6909__58.6254, 57.6069__58.6200, 58.5219__58.6152, 59.4361__58.6112, 60.3498__58.6077, 61.2629__58.6050, 62.1754__58.6031, 63.0879__58.6019, 64.0000__58.6015, 
0.0000__58.4634, 1.0341__58.4647, 2.0692__58.4687, 3.1060__58.4746, 4.1452__58.4827, 5.1876__58.4917, 6.2327__58.5021, 7.2834__58.5107, 8.3344__58.5204, 9.3964__58.5232, 10.4494__58.5309, 11.5198__58.5207, 12.5684__58.5268, 13.6418__58.4816, 14.6289__58.5154, 15.8179__58.4938, 16.7988__58.3959, 17.8322__58.4001, 18.8428__58.3478, 19.8515__58.3306, 20.8513__58.3039, 21.8436__58.2895, 22.8325__58.2804, 23.8152__58.2822, 24.8027__58.2928, 25.7845__58.3167, 26.7823__58.3514, 27.7778__58.3980, 28.8048__58.4614, 29.8317__58.5142, 30.9015__58.6121, 31.9991__58.6337, 33.0978__58.6930, 34.3161__58.7021, 35.5178__58.5437, 36.5403__58.6091, 37.7050__58.3841, 38.7584__58.3930, 39.9758__58.3946, 40.8857__58.1736, 41.8858__58.1501, 42.8221__58.0447, 43.7789__58.0063, 44.7067__57.9489, 45.6443__57.9143, 46.5711__57.8784, 47.4980__57.8526, 48.4213__57.8294, 49.3443__57.8111, 50.2660__57.7953, 51.1873__57.7821, 52.1076__57.7702, 53.0272__57.7601, 53.9460__57.7508, 54.8638__57.7424, 55.7810__57.7348, 56.6971__57.7280, 57.6122__57.7216, 58.5266__57.7161, 59.4404__57.7112, 60.3531__57.7072, 61.2654__57.7040, 62.1773__57.7017, 63.0886__57.7003, 64.0000__57.6998, 
0.0000__57.6671, 1.0311__57.6687, 2.0633__57.6739, 3.0974__57.6815, 4.1348__57.6919, 5.1755__57.7041, 6.2217__57.7162, 7.2695__57.7315, 8.3308__57.7393, 9.3800__57.7536, 10.4629__57.7524, 11.5072__57.7588, 12.5977__57.7359, 13.6343__57.7361, 14.6554__57.6021, 15.8268__57.5662, 16.8305__57.6499, 17.8659__57.5644, 18.8737__57.5457, 19.8813__57.5034, 20.8735__57.4772, 21.8598__57.4539, 22.8358__57.4433, 23.8153__57.4406, 24.7789__57.4542, 25.7628__57.4762, 26.7269__57.5183, 27.7349__57.5769, 28.7129__57.6431, 29.7795__57.7410, 30.7878__57.7995, 31.8998__57.9347, 33.0306__57.9230, 34.4574__57.7901, 35.3996__57.9463, 36.7229__57.7596, 37.6968__57.7197, 38.9407__57.5467, 40.0170__57.3742, 41.0174__57.4043, 41.9435__57.2321, 42.9126__57.1947, 43.8225__57.1070, 44.7644__57.0711, 45.6797__57.0211, 46.6050__56.9898, 47.5218__56.9585, 48.4420__56.9375, 49.3615__56.9177, 50.2809__56.9019, 51.1998__56.8882, 52.1188__56.8760, 53.0372__56.8651, 53.9551__56.8552, 54.8724__56.8460, 55.7886__56.8376, 56.7041__56.8296, 57.6187__56.8227, 58.5323__56.8161, 59.4449__56.8107, 60.3571__56.8058, 61.2684__56.8021, 62.1791__56.7994, 63.0898__56.7977, 64.0000__56.7972, 
0.0000__56.8680, 1.0271__56.8701, 2.0553__56.8764, 3.0863__56.8864, 4.1209__56.8999, 5.1609__56.9147, 6.2054__56.9331, 7.2587__56.9459, 8.3091__56.9729, 9.3897__56.9655, 10.4270__57.0031, 11.5561__56.9750, 12.5678__56.9735, 13.6724__56.9355, 14.7567__56.8445, 15.8307__56.8446, 16.9062__56.8045, 17.8993__56.7745, 18.9237__56.7192, 19.9153__56.6793, 20.9051__56.6404, 21.8796__56.6129, 22.8490__56.5917, 23.8028__56.5954, 24.7757__56.5955, 25.7109__56.6271, 26.6932__56.6632, 27.6253__56.7448, 28.6685__56.8164, 29.6069__56.9323, 30.7568__57.0340, 31.6316__57.0527, 33.2092__57.1344, 34.2190__57.2688, 35.5946__56.9737, 36.5625__56.8925, 38.0480__56.6868, 39.0346__56.6620, 40.1600__56.6789, 41.0831__56.4258, 42.0585__56.4164, 42.9591__56.2696, 43.9112__56.2300, 44.8004__56.1620, 45.7265__56.1318, 46.6312__56.0860, 47.5484__56.0637, 48.4626__56.0397, 49.3786__56.0224, 50.2957__56.0062, 51.2128__55.9925, 52.1304__55.9807, 53.0481__55.9691, 53.9649__55.9587, 54.8814__55.9490, 55.7975__55.9395, 56.7121__55.9309, 57.6259__55.9229, 58.5389__55.9154, 59.4506__55.9089, 60.3616__55.9038, 61.2720__55.8990, 62.1816__55.8961, 63.0910__55.8942, 64.0000__55.8932, 
0.0000__56.0654, 1.0223__56.0682, 2.0460__56.0757, 3.0727__56.0888, 4.1040__56.1049, 5.1399__56.1261, 6.1851__56.1453, 7.2351__56.1734, 8.2994__56.1826, 9.3528__56.2246, 10.4609__56.1935, 11.4492__56.2521, 12.7111__56.2290, 13.7145__56.1297, 14.8186__56.1245, 15.9056__56.0491, 16.9215__56.0173, 17.9762__55.9550, 18.9648__55.8980, 19.9671__55.8461, 20.9412__55.7973, 21.9091__55.7591, 22.8626__55.7369, 23.8127__55.7170, 24.7323__55.7433, 25.7091__55.7473, 26.6023__55.8051, 27.5980__55.8589, 28.4675__55.9999, 29.5996__56.0875, 30.4469__56.2491, 31.7615__56.2477, 32.6307__56.5857, 34.4479__56.5590, 35.1354__56.2536, 37.0677__55.9747, 37.9254__55.7830, 39.0765__55.9100, 40.2559__55.6151, 41.2357__55.6537, 42.1220__55.4560, 43.0794__55.3907, 43.9191__55.2975, 44.8657__55.2833, 45.7536__55.2060, 46.6649__55.1895, 47.5707__55.1583, 48.4824__55.1414, 49.3953__55.1231, 50.3093__55.1089, 51.2257__55.0962, 52.1422__55.0838, 53.0584__55.0727, 53.9756__55.0618, 54.8917__55.0513, 55.8064__55.0411, 56.7211__55.0314, 57.6341__55.0222, 58.5458__55.0140, 59.4573__55.0065, 60.3670__55.0001, 61.2759__54.9952, 62.1848__54.9913, 63.0922__54.9890, 64.0000__54.9884, 
