0.0000__64.0000, 1.0139__64.0000, 2.0287__64.0000, 3.0453__64.0000, 4.0645__64.0000, 5.0874__64.0000, 6.1145__64.0000, 7.1465__64.0000, 8.1837__64.0000, 9.2269__64.0000, 10.2763__64.0000, 11.3316__64.0000, 12.3917__64.0000, 13.4590__64.0000, 14.5233__64.0000, 15.6046__64.0000, 16.6645__64.0000, 17.7565__64.0000, 18.8073__64.0000, 19.8893__64.0000, 20.9251__64.0000, 21.9749__64.0000, 23.0026__64.0000, 24.0270__64.0000, 25.0412__64.0000, 26.0485__64.0000, 27.0486__64.0000, 28.0423__64.0000, 29.0304__64.0000, 30.0142__64.0000, 30.9939__64.0000, 31.9708__64.0000, 32.9461__64.0000, 33.9206__64.0000, 34.8956__64.0000, 35.8723__64.0000, 36.8518__64.0000, 37.8354__64.0000, 38.8239__64.0000, 39.8186__64.0000, 40.8202__64.0000, 41.8289__64.0000, 42.8442__64.0000, 43.8661__64.0000, 44.8925__64.0000, 45.9256__64.0000, 46.9514__64.0000, 48.0059__64.0000, 49.0111__64.0000, 50.0809__64.0000, 51.0627__64.0000, 52.0766__64.0000, 53.0394__64.0000, 54.0100__64.0000, 54.9601__64.0000, 55.9008__64.0000, 56.8292__64.0000, 57.7478__64.0000, 58.6574__64.0000, 59.5594__64.0000, 60.4550__64.0000, 61.3456__64.0000, 62.2325__64.0000, 63.1169__64.0000, 64.0000__64.0000, 
0.0000__63.1890, 1.0135__63.1894, 2.0280__63.1905, 3.0442__63.1922, 4.0632__63.1948, 5.0856__63.1978, 6.1125__63.2016, 7.1442__63.2054, 8.1814__63.2097, 9.2246__63.2146, 10.2741__63.2191, 11.3293__63.2232, 12.3907__63.2269, 13.4548__63.2311, 14.5286__63.2301, 15.5902__63.2373, 16.6834__63.2327, 17.7361__63.2369, 18.8368__63.2322, 19.8714__63.2176, 20.9400__63.2180, 21.9732__63.2051, 23.0084__63.2002, 24.0294__63.1931, 25.0445__63.1866, 26.0513__63.1810, 27.0512__63.1751, 28.0446__63.1704, 29.0326__63.1659, 30.0157__63.1626, 30.9951__63.1594, 31.9717__63.1577, 32.9464__63.1564, 33.9204__63.1564, 34.8949__63.1573, 35.8711__63.1592, 36.8501__63.1622, 37.8332__63.1661, 38.8215__63.1709, 39.8159__63.1763, 40.8171__63.1823, 41.8258__63.1881, 42.8414__63.1931, 43.8639__63.1987, 44.8922__63.2013, 45.9216__63.2052, 46.9602__63.2017, 47.9779__63.2130, 49.0528__63.2041, 50.0398__63.1999, 51.0977__63.1860, 52.0645__63.1557, 53.0531__63.1573, 54.0133__63.1409, 54.9667__63.1315, 55.9057__63.1198, 56.8342__63.1097, 57.7522__63.1003, 58.6612__63.0920, 59.5626__63.0849, 60.4576__63.0791, 61.3476__63.0746, 62.2338__63.0713, 63.1175__63.0693, 64.0000__63.0687, 
0.0000__62.3775, 1.0124__62.3782, 2.0257__62.3804, 3.0409__62.3840, 4.0589__62.3890, 5.0804__62.3952, 6.1064__62.4026, 7.1376__62.4107, 8.1747__62.4194, 9.2177__62.4290, 10.2673__62.4383, 11.3229__62.4463, 12.3849__62.4559, 13.4528__62.4592, 14.5201__62.4694, 15.6027__62.4605, 16.6530__62.4830, 17.7788__62.4708, 18.8004__62.4564, 19.9137__62.4549, 20.9453__62.4186, 21.9879__62.4171, 23.0165__62.3973, 24.0400__62.3866, 25.0539__62.3731, 26.0602__62.3612, 27.0591__62.3501, 28.0518__62.3401, 29.0387__62.3315, 30.0207__62.3239, 30.9988__62.3186, 31.9740__62.3141, 32.9473__62.3122, 33.9199__62.3118, 34.8928__62.3137, 35.8674__62.3175, 36.8449__62.3235, 37.8266__62.3315, 38.8138__62.3411, 39.8073__62.3522, 40.8083__62.3640, 41.8163__62.3762, 42.8336__62.3875, 43.8568__62.3973, 44.8878__62.4063, 45.9210__62.4055, 46.9534__62.4150, 47.9849__62.3921, 48.9663__62.4300, 50.1232__62.4354, 51.0855__62.3240, 52.0921__62.3446, 53.0669__62.2997, 54.0319__62.2869, 54.9831__62.2602, 55.9221__62.2390, 56.8488__62.2181, 57.7654__62.1993, 58.6728__62.1827, 59.5722__62.1685, 60.4654__62.1568, 61.3534__62.1477, 62.2377__62.1412, 63.1195__62.1373, 64.0000__62.1360, 
0.0000__61.5647, 1.0106__61.5658, 2.0221__61.5691, 3.0355__61.5747, 4.0518__61.5821, 5.0718__61.5916, 6.0963__61.6027, 7.1264__61.6154, 8.1628__61.6290, 9.2059__61.6432, 10.2551__61.6576, 11.3125__61.6708, 12.3750__61.6835, 13.4453__61.6947, 14.5182__61.6950, 15.5893__61.7127, 16.6690__61.6790, 17.6779__61.7407, 18.9130__61.7202, 19.9144__61.6408, 20.9645__61.6478, 22.0027__61.6134, 23.0344__61.6005, 24.0563__61.5774, 25.0695__61.5594, 26.0747__61.5403, 27.0725__61.5240, 28.0636__61.5087, 29.0487__61.4955, 30.0291__61.4845, 31.0052__61.4756, 31.9781__61.4695, 32.9491__61.4659, 33.9190__61.4655, 34.8893__61.4681, 35.8612__61.4740, 36.8361__61.4831, 37.8154__61.4952, 38.8003__61.5101, 39.7924__61.5270, 40.7923__61.5459, 41.8018__61.5641, 42.8181__61.5830, 43.8468__61.5986, 44.8768__61.6102, 45.9216__61.6200, 46.9543__61.6067, 47.9856__61.6123, 48.9587__61.5194, 50.1460__61.4885, 51.1128__61.5568, 52.1187__61.4838, 53.0948__61.4672, 54.0626__61.4222, 55.0116__61.3909, 55.9490__61.3555, 56.8738__61.3243, 57.7876__61.2958, 58.6919__61.2706, 59.5884__61.2493, 60.4783__61.2317, 61.3631__61.2181, 62.2441__61.2083, 63.1227__61.2025, 64.0000__61.2006, 
0.0000__60.7501, 1.0079__60.7516, 2.0168__60.7561, 3.0276__60.7635, 4.0415__60.7737, 5.0593__60.7865, 6.0820__60.8016, 7.1106__60.8193, 8.1460__60.8377, 9.1879__60.8575, 10.2390__60.8767, 11.2947__60.8965, 12.3639__60.9143, 13.4314__60.9262, 14.5157__60.9401, 15.5851__60.9295, 16.6706__60.9499, 17.6917__60.8432, 18.9035__60.8368, 19.9286__60.8926, 20.9875__60.8430, 22.0274__60.8282, 23.0596__60.7955, 24.0801__60.7702, 25.0917__60.7428, 26.0953__60.7189, 27.0914__60.6959, 28.0804__60.6757, 29.0635__60.6578, 30.0410__60.6428, 31.0143__60.6306, 31.9841__60.6221, 32.9516__60.6172, 33.9180__60.6164, 34.8845__60.6198, 35.8525__60.6276, 36.8236__60.6398, 37.7993__60.6564, 38.7812__60.6767, 39.7706__60.7008, 40.7693__60.7259, 41.7776__60.7545, 42.7994__60.7778, 43.8245__60.8031, 44.8727__60.8220, 45.9094__60.8291, 46.9743__60.8316, 48.0010__60.7846, 49.1047__60.7625, 50.1129__60.7344, 51.1717__60.6994, 52.1485__60.6706, 53.1403__60.6114, 54.1020__60.5669, 55.0539__60.5153, 55.9873__60.4697, 56.9091__60.4268, 57.8189__60.3881, 58.7190__60.3545, 59.6110__60.3258, 60.4964__60.3024, 61.3767__60.2843, 62.2532__60.2713, 63.1272__60.2636, 64.0000__60.2610, 
0.0000__59.9331, 1.0045__59.9350, 2.0100__59.9407, 3.0175__59.9500, 4.0282__59.9631, 5.0431__59.9794, 6.0633__59.9989, 7.0897__60.0211, 8.1230__60.0460, 9.1652__60.0700, 10.2131__60.0983, 11.2777__60.1205, 12.3358__60.1473, 13.4277__60.1659, 14.4974__60.1760, 15.6086__60.1855, 16.6577__60.1517, 17.8071__60.1235, 18.8715__60.1056, 19.9773__60.0877, 21.0154__60.0706, 22.0615__60.0277, 23.0905__59.9959, 24.1099__59.9585, 25.1208__59.9260, 26.1224__59.8950, 27.1160__59.8662, 28.1026__59.8403, 29.0825__59.8175, 30.0568__59.7980, 31.0263__59.7828, 31.9921__59.7714, 32.9552__59.7650, 33.9169__59.7635, 34.8784__59.7675, 35.8413__59.7772, 36.8072__59.7926, 37.7781__59.8139, 38.7555__59.8403, 39.7416__59.8712, 40.7381__59.9063, 41.7457__59.9405, 42.7661__59.9814, 43.8047__60.0035, 44.8355__60.0406, 45.9210__60.0597, 46.9662__60.0426, 48.0696__60.0312, 49.1162__59.9794, 50.1854__59.9394, 51.1956__59.8960, 52.2176__59.8291, 53.1911__59.7704, 54.1630__59.7017, 55.1061__59.6385, 56.0390__59.5788, 56.9549__59.5237, 57.8597__59.4751, 58.7541__59.4324, 59.6402__59.3966, 60.5197__59.3673, 61.3940__59.3447, 62.2647__59.3287, 63.1329__59.3191, 64.0000__59.3159, 
0.0000__59.1129, 1.0002__59.1152, 2.0014__59.1221, 3.0049__59.1335, 4.0115__59.1495, 5.0225__59.1696, 6.0393__59.1938, 7.0625__59.2212, 8.0942__59.2516, 9.1338__59.2850, 10.1870__59.3147, 11.2395__59.3552, 12.3257__59.3710, 13.3796__59.4193, 14.5235__59.4282, 15.5724__59.4177, 16.7327__59.4261, 17.8063__59.3685, 18.9284__59.3581, 19.9966__59.3168, 21.0585__59.2793, 22.1015__59.2375, 23.1291__59.1887, 24.1486__59.1479, 25.1564__59.1067, 26.1562__59.0686, 27.1468__59.0338, 28.1299__59.0019, 29.1063__58.9739, 30.0765__58.9501, 31.0417__58.9307, 32.0025__58.9167, 32.9602__58.9081, 33.9159__58.9058, 34.8712__58.9101, 35.8276__58.9215, 36.7869__58.9401, 37.7509__58.9662, 38.7228__58.9995, 39.7037__59.0384, 40.6961__59.0828, 41.7053__59.1308, 42.7219__59.1730, 43.7647__59.2305, 44.8156__59.2315, 45.8407__59.3091, 47.0289__59.3193, 48.0905__59.2323, 49.1583__59.2215, 50.2292__59.1571, 51.2812__59.0756, 52.2711__59.0076, 53.2780__58.9184, 54.2282__58.8339, 55.1788__58.7571, 56.1011__58.6804, 57.0129__58.6142, 57.9098__58.5542, 58.7971__58.5029, 59.6758__58.4598, 60.5479__58.4249, 61.4151__58.3980, 62.2786__58.3790, 63.1399__58.3677, 64.0000__58.3638, 
0.0000__58.2889, 0.9951__58.2916, 1.9913__58.2997, 2.9896__58.3134, 3.9914__58.3321, 4.9978__58.3563, 6.0101__58.3856, 7.0300__58.4181, 8.0574__58.4568, 9.0985__58.4945, 10.1447__58.5416, 11.2173__58.5718, 12.2772__58.6338, 13.3796__58.6138, 14.3912__58.7212, 15.6943__58.7085, 16.7231__58.6412, 17.8611__58.6608, 18.9667__58.5860, 20.0357__58.5530, 21.1143__58.4967, 22.1444__58.4375, 23.1815__58.3866, 24.1934__58.3311, 25.2006__58.2860, 26.1962__58.2391, 27.1838__58.1980, 28.1632__58.1600, 29.1351__58.1266, 30.1009__58.0977, 31.0604__58.0743, 32.0157__58.0566, 32.9669__58.0457, 33.9156__58.0420, 34.8632__58.0462, 35.8115__58.0588, 36.7622__58.0808, 37.7185__58.1116, 38.6813__58.1523, 39.6569__58.2011, 40.6440__58.2541, 41.6447__58.3182, 42.6805__58.3777, 43.7004__58.4268, 44.7816__58.4908, 45.7787__58.4214, 47.0422__58.4232, 48.0470__58.5312, 49.2480__58.4801, 50.3250__58.3390, 51.3244__58.2929, 52.4047__58.1731, 53.3495__58.0587, 54.3328__57.9672, 55.2568__57.8608, 56.1813__57.7772, 57.0806__57.6930, 57.9702__57.6244, 58.8478__57.5636, 59.7176__57.5137, 60.5809__57.4734, 61.4395__57.4426, 62.2949__57.4208, 63.1479__57.4078, 64.0000__57.4036, 
0.0000__57.4603, 0.9892__57.4633, 1.9794__57.4728, 2.9719__57.4884, 3.9675__57.5104, 4.9685__57.5388, 5.9750__57.5725, 6.9898__57.6135, 8.0149__57.6548, 9.0469__57.7101, 10.1028__57.7504, 11.1517__57.8205, 12.2544__57.8429, 13.3384__57.9184, 14.4150__57.8155, 15.5941__57.8669, 16.7919__57.9939, 17.9224__57.8555, 18.9695__57.8661, 20.1285__57.7810, 21.1441__57.7054, 22.2196__57.6497, 23.2293__57.5708, 24.2515__57.5187, 25.2505__57.4577, 26.2436__57.4079, 27.2277__57.3579, 28.2019__57.3142, 29.1701__57.2745, 30.1293__57.2404, 31.0840__57.2123, 32.0317__57.1906, 32.9759__57.1766, 33.9163__57.1708, 34.8549__57.1743, 35.7932__57.1880, 36.7341__57.2123, 37.6792__57.2490, 38.6326__57.2950, 39.5943__57.3553, 40.5806__57.4268, 41.5783__57.4898, 42.5833__57.5857, 43.6769__57.6534, 44.6881__57.6885, 45.8645__57.7136, 46.9756__57.7386, 48.0552__57.6542, 49.3527__57.5739, 50.2822__57.6319, 51.5404__57.4990, 52.4596__57.3126, 53.5059__57.2180, 54.4192__57.0667, 55.3717__56.9694, 56.2679__56.8520, 57.1634__56.7640, 58.0388__56.6806, 58.9062__56.6131, 59.7653__56.5564, 60.6184__56.5112, 61.4671__56.4767, 62.3129__56.4527, 63.1570__56.4384, 64.0000__56.4335, 
0.0000__56.6263, 0.9824__56.6299, 1.9661__56.6404, 2.9512__56.6582, 3.9408__56.6832, 4.9333__56.7157, 5.9351__56.7553, 6.9423__56.8009, 7.9620__56.8567, 8.9955__56.9064, 10.0317__56.9844, 11.1126__57.0223, 12.1554__57.1196, 13.2846__57.1264, 14.4280__57.1522, 15.5326__57.0787, 16.8701__57.0603, 17.8390__57.2268, 19.1798__57.0951, 20.1324__56.9971, 21.2824__56.9349, 22.2585__56.8257, 23.3106__56.7752, 24.3081__56.6888, 25.3112__56.6332, 26.2991__56.5684, 27.2760__56.5155, 28.2500__56.4632, 29.2088__56.4171, 30.1655__56.3775, 31.1105__56.3437, 32.0530__56.3179, 32.9877__56.2995, 33.9189__56.2910, 34.8468__56.2930, 35.7742__56.3063, 36.7012__56.3331, 37.6340__56.3734, 38.5746__56.4299, 39.5261__56.4938, 40.4851__56.5833, 41.5034__56.6914, 42.5064__56.7313, 43.4926__56.9020, 44.7290__56.9693, 45.7954__56.9619, 46.9441__57.0445, 48.2466__56.9189, 49.2747__56.9240, 50.4927__56.6844, 51.5486__56.5953, 52.6909__56.5351, 53.5816__56.2967, 54.5904__56.2046, 55.4709__56.0286, 56.3826__55.9289, 57.2521__55.8108, 58.1183__55.7255, 58.9718__55.6472, 59.8180__55.5856, 60.6592__55.5366, 61.4975__55.4995, 62.3329__55.4731, 63.1664__55.4579, 64.0000__55.4531, 
0.0000__55.7865, 0.9751__55.7901, 1.9506__55.8020, 2.9296__55.8211, 3.9083__55.8500, 4.8968__55.8852, 5.8845__55.9313, 6.8913__55.9858, 7.8976__56.0426, 8.9282__56.1231, 9.9738__56.1721, 11.0264__56.2975, 12.1520__56.3031, 13.1807__56.4342, 14.4315__56.4476, 15.6125__56.3451, 16.7569__56.4724, 17.9643__56.2832, 19.0833__56.2870, 20.3552__56.2834, 21.2741__56.0710, 22.3831__56.0651, 23.3684__55.9319, 24.3907__55.8778, 25.3772__55.7899, 26.3579__55.7311, 27.3377__55.6643, 28.2948__55.6087, 29.2602__55.5552, 30.2024__55.5066, 31.1468__55.4697, 32.0769__55.4358, 33.0039__55.4140, 33.9242__55.4012, 34.8408__55.3998, 35.7530__55.4130, 36.6687__55.4395, 37.5812__55.4831, 38.5045__55.5466, 39.4458__55.6295, 40.3883__55.7044, 41.3216__55.8465, 42.4384__56.0064, 43.4089__55.9339, 44.5621__56.0793, 45.7254__56.3612, 47.0209__56.2692, 48.0783__56.3558, 49.5699__56.0642, 50.4460__56.0165, 51.9858__55.8491, 52.7411__55.5492, 53.8408__55.4971, 54.6821__55.2239, 55.6370__55.1298, 56.4912__54.9521, 57.3589__54.8543, 58.2045__54.7452, 59.0416__54.6665, 59.8749__54.5995, 60.7038__54.5477, 61.5289__54.5086, 62.3535__54.4818, 63.1779__54.4655, 64.0000__54.4600, 
